iter	RMSE
0	9.868425033
1	9.788714759
2	9.689903367
3	9.593975004
4	9.516914028
5	9.422991631
6	9.331707839
7	9.250480183
8	9.162500627
9	9.087984419
10	8.996351059
11	8.913838488
12	8.83583406
13	8.755595
14	8.679477247
15	8.598680081
16	8.529161885
17	8.46757235
18	8.404111614
19	8.331880871
20	8.262901765
21	8.201484154
22	8.131808457
23	8.056410035
24	7.984630947
25	7.911552638
26	7.848250097
27	7.782833126
28	7.725680102
29	7.665027281
30	7.60239468
31	7.540416909
32	7.481002818
33	7.416993173
34	7.352732524
35	7.288560784
36	7.223950975
37	7.155859891
38	7.100089945
39	7.04712932
40	6.993342378
41	6.935581171
42	6.88167799
43	6.826797504
44	6.772838468
45	6.708210038
46	6.65472609
47	6.596226313
48	6.546373216
49	6.490608038
50	6.447219665
51	6.401079047
52	6.346501051
53	6.306649182
54	6.258964338
55	6.211347867
56	6.162871341
57	6.118019925
58	6.070721328
59	6.02127343
60	5.977742331
61	5.941848907
62	5.89500704
63	5.847278628
64	5.801646598
65	5.752779351
66	5.710537681
67	5.667690682
68	5.634301115
69	5.598596902
70	5.560425857
71	5.528776667
72	5.49681926
73	5.456827159
74	5.417176307
75	5.375998541
76	5.338564503
77	5.300933829
78	5.261051105
79	5.225765618
80	5.184451515
81	5.150753952
82	5.113916028
83	5.076886592
84	5.040994367
85	5.007049698
86	4.96952624
87	4.939719936
88	4.909199621
89	4.875008509
90	4.840773971
91	4.80613769
92	4.777124189
93	4.7444309
94	4.71608316
95	4.692098274
96	4.663259544
97	4.638195148
98	4.608778207
99	4.578503613
100	4.550301045
101	4.520121079
102	4.490674087
103	4.463581946
104	4.438108078
105	4.409739165
106	4.379886258
107	4.355132142
108	4.327980312
109	4.299658176
110	4.272481693
111	4.247256524
112	4.223750035
113	4.200285676
114	4.173949219
115	4.149362852
116	4.129137967
117	4.108875846
118	4.08993702
119	4.064121462
120	4.044048927
121	4.026423719
122	4.005351032
123	3.981845991
124	3.960166346
125	3.936353706
126	3.923709618
127	3.901235975
128	3.878478101
129	3.865635886
130	3.845454794
131	3.827178963
132	3.804895207
133	3.787364924
134	3.765042503
135	3.746127619
136	3.728265066
137	3.704691568
138	3.687656454
139	3.665773432
140	3.647662016
141	3.630036342
142	3.612320895
143	3.595906576
144	3.580037148
145	3.565648826
146	3.548247714
147	3.532942449
148	3.5150984
149	3.499725695
150	3.482153848
151	3.464752562
152	3.447100414
153	3.433347065
154	3.418434295
155	3.402178901
156	3.386983592
157	3.370602962
158	3.356941849
159	3.337761987
160	3.319046197
161	3.303333825
162	3.287868297
163	3.270372048
164	3.260290476
165	3.24590688
166	3.235621167
167	3.221676783
168	3.21135365
169	3.195840347
170	3.18324905
171	3.17139501
172	3.161498123
173	3.148240858
174	3.133056415
175	3.118582105
176	3.105881949
177	3.093015532
178	3.083069893
179	3.06941248
180	3.052019204
181	3.038044819
182	3.026884002
183	3.013629845
184	2.999349807
185	2.987965857
186	2.975325878
187	2.96352375
188	2.948798315
189	2.935098223
190	2.924454047
191	2.9146893
192	2.906769762
193	2.893994408
194	2.88343469
195	2.873591733
196	2.864662924
197	2.85594506
198	2.844379148
199	2.831857088
200	2.822370223
201	2.811084649
202	2.803820286
203	2.793402882
204	2.783556881
205	2.77054275
206	2.760556748
207	2.751402892
208	2.744247713
209	2.734676224
210	2.724364412
211	2.713249395
212	2.703042872
213	2.694743474
214	2.683357237
215	2.672910734
216	2.663882846
217	2.655974692
218	2.647837966
219	2.639322432
220	2.631971354
221	2.62185724
222	2.612055436
223	2.601213884
224	2.592202479
225	2.583601788
226	2.573539054
227	2.567146843
228	2.560475844
229	2.551491503
230	2.543000964
231	2.535357752
232	2.527823427
233	2.519122777
234	2.509538226
235	2.50418217
236	2.496727923
237	2.489456833
238	2.481142683
239	2.477447257
240	2.468228725
241	2.460513614
242	2.451924267
243	2.446434441
244	2.439262172
245	2.432999058
246	2.425481373
247	2.415052303
248	2.406283934
249	2.401119312
250	2.39532859
251	2.386116468
252	2.377983169
253	2.368810748
254	2.360373593
255	2.353545028
256	2.349318849
257	2.342740424
258	2.334838921
259	2.326215324
260	2.319520551
261	2.314361416
262	2.307872118
263	2.301486896
264	2.294827936
265	2.285842145
266	2.280397462
267	2.273597554
268	2.266796602
269	2.260600505
270	2.254487583
271	2.24808916
272	2.23968265
273	2.233037193
274	2.227064629
275	2.222811288
276	2.218073766
277	2.211473124
278	2.205301
279	2.198423453
280	2.19320093
281	2.187055042
282	2.183362865
283	2.174103037
284	2.164882934
285	2.157537662
286	2.149095802
287	2.140031611
288	2.136115859
289	2.128642487
290	2.12060716
291	2.115470313
292	2.110718101
293	2.10346058
294	2.096092207
295	2.087686234
296	2.078678953
297	2.070744842
298	2.062689117
299	2.056691564
300	2.049472867
301	2.042635908
302	2.038380206
303	2.030886431
304	2.025178232
305	2.019176724
306	2.01477941
307	2.009632909
308	2.001799941
309	1.997362336
310	1.992701419
311	1.986780446
312	1.980407355
313	1.972648037
314	1.970381513
315	1.965175206
316	1.958725356
317	1.952371652
318	1.947693026
319	1.945467128
320	1.940125522
321	1.934743473
322	1.930696484
323	1.924717178
324	1.917225418
325	1.9115076
326	1.906582629
327	1.90304746
328	1.895811647
329	1.890377551
330	1.883726483
331	1.878112916
332	1.871640994
333	1.868301485
334	1.865009701
335	1.85775104
336	1.854166364
337	1.849506294
338	1.845250064
339	1.841023244
340	1.835739264
341	1.831519786
342	1.827756963
343	1.823238107
344	1.818537923
345	1.811909715
346	1.806331594
347	1.801155439
348	1.796471001
349	1.793209637
350	1.786042552
351	1.780614015
352	1.775657869
353	1.772071867
354	1.764105402
355	1.758091345
356	1.754118436
357	1.748533413
358	1.743396684
359	1.736283953
360	1.730500318
361	1.725725879
362	1.720280706
363	1.713172624
364	1.706913765
365	1.701587974
366	1.695131656
367	1.688636947
368	1.68439154
369	1.679249048
370	1.674837764
371	1.670110187
372	1.664833106
373	1.659700734
374	1.654137182
375	1.647762798
376	1.64385879
377	1.639305671
378	1.634880711
379	1.631996434
380	1.627616748
381	1.623795635
382	1.619255346
383	1.614647831
384	1.610627105
385	1.605184961
386	1.599240062
387	1.593339771
388	1.58801776
389	1.582147282
390	1.575594563
391	1.571725728
392	1.566288646
393	1.559362201
394	1.55326265
395	1.547548348
396	1.542348828
397	1.536631698
398	1.533073191
399	1.529380908
400	1.526821628
401	1.523149338
402	1.519545041
403	1.514340198
404	1.509063419
405	1.503141009
406	1.496818587
407	1.491284337
408	1.488054132
409	1.482781538
410	1.476833277
411	1.472440474
412	1.468968964
413	1.463739924
414	1.461965879
415	1.456295279
416	1.451812351
417	1.444528029
418	1.439091258
419	1.435790369
420	1.430563933
421	1.426766229
422	1.421770419
423	1.416878585
424	1.412151168
425	1.408320495
426	1.405512002
427	1.40174292
428	1.398447424
429	1.394000105
430	1.390653441
431	1.386077358
432	1.380482567
433	1.375297658
434	1.369507351
435	1.365866277
436	1.361062998
437	1.357098775
438	1.352307429
439	1.347633816
440	1.342961948
441	1.337983167
442	1.333574823
443	1.329453921
444	1.324762054
445	1.320351239
446	1.31562916
447	1.311009363
448	1.307478245
449	1.30263229
450	1.297802016
451	1.293496773
452	1.290557111
453	1.286824244
454	1.282538911
455	1.278486684
456	1.273757824
457	1.269396345
458	1.264829164
459	1.260849684
460	1.256622924
461	1.252062682
462	1.247470231
463	1.243676212
464	1.23932294
465	1.234960834
466	1.230777131
467	1.225681648
468	1.221746901
469	1.218687408
470	1.215637239
471	1.21088089
472	1.206420173
473	1.203176136
474	1.199207708
475	1.194688352
476	1.190933484
477	1.187064669
478	1.182850365
479	1.178577046
480	1.174233283
481	1.170235254
482	1.16643209
483	1.163714575
484	1.159168077
485	1.155260046
486	1.152317887
