iter	Passed	Remaining
0	8	5931
1	16	5734
2	24	5555
3	31	5311
4	37	5122
5	44	5013
6	51	4983
7	59	5039
8	68	5175
9	75	5116
10	81	5037
11	89	5039
12	97	5088
13	106	5120
14	114	5151
15	122	5124
16	128	5064
17	136	5098
18	144	5086
19	152	5096
20	161	5115
21	168	5087
22	176	5102
23	183	5084
24	194	5144
25	201	5141
26	209	5130
27	216	5113
28	225	5130
29	232	5101
30	240	5094
31	247	5076
32	255	5063
33	263	5063
34	271	5059
35	279	5055
36	286	5042
37	294	5034
38	301	5015
39	308	4999
40	315	4981
41	323	4971
42	330	4963
43	340	4986
44	350	5005
45	358	5008
46	366	5003
47	374	4992
48	381	4980
49	389	4968
50	396	4957
51	404	4949
52	412	4939
53	419	4928
54	428	4933
55	436	4921
56	443	4911
57	450	4892
58	458	4889
59	467	4891
60	475	4882
61	483	4883
62	491	4872
63	499	4868
64	506	4856
65	514	4848
66	521	4836
67	530	4834
68	537	4823
69	545	4813
70	553	4810
71	561	4805
72	568	4790
73	575	4778
74	583	4768
75	591	4762
76	599	4756
77	607	4748
78	614	4735
79	622	4730
80	630	4721
81	637	4709
82	644	4694
83	653	4697
84	660	4688
85	668	4680
86	677	4678
87	684	4667
88	693	4666
89	701	4663
90	709	4653
91	717	4647
92	724	4637
93	732	4631
94	740	4622
95	748	4618
96	757	4612
97	764	4600
98	771	4590
99	778	4579
100	786	4570
101	793	4559
102	801	4550
103	808	4540
104	816	4534
105	825	4532
106	833	4525
107	841	4517
108	848	4505
109	855	4496
110	863	4491
111	871	4481
112	878	4471
113	886	4461
114	893	4452
115	901	4446
116	909	4440
117	917	4432
118	925	4425
119	935	4429
120	945	4429
121	955	4431
122	965	4435
123	974	4430
124	983	4430
125	992	4426
126	1000	4421
127	1009	4417
128	1018	4413
129	1026	4407
130	1034	4396
131	1042	4392
132	1050	4384
133	1057	4372
134	1064	4362
135	1072	4351
136	1080	4345
137	1087	4334
138	1095	4325
139	1102	4315
140	1109	4305
141	1118	4300
142	1126	4291
